province,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020
Seoul,0,0,0,0,0,0,0,1,1,1,3,4,4,5,5,5,5,10,11,11,14,14,14,14,14,14,14,14,14,14,20,22,27,30,31,35,41,49,56,62,77,87,91,98,99,103,105,108,120,130,141,193,212,225,238,247,253,265,270
Busan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11,19,34,42,58,61,65,80,83,88,90,92,92,95,96,96,96,96,98,99,100,103,106,107,107,107
Daegu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,30,110,193,310,483,543,710,1132,1580,2236,2704,3081,3601,4007,4328,4694,5084,5381,5571,5663,5794,5867,5928,5990,6031,6066,6098,5144
Incheon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,6,6,7,7,9,9,9,9,9,9,13,25,25,27,28,30,30,1,32
Gwangju,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,8,9,9,9,9,9,9,9,9,11,13,13,13,13,13,15,15,15,15,15,15,16,16,0,17
Daejeon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,5,9,13,13,13,14,14,15,16,18,18,18,18,18,18,20,22,22,22,22,0,22
Ulsan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,11,14,17,20,20,20,23,23,23,23,24,24,24,25,25,27,27,28,28,0,30
Sejong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,6,8,10,15,32,38,39,40,0,41
Gyeonggi-do,0,0,0,0,1,1,2,2,2,2,3,5,6,8,8,8,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,14,20,24,35,42,51,62,72,82,89,92,94,101,110,120,130,141,153,163,175,178,185,200,211,231,31,277
Gangwon-do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,7,7,15,19,20,21,23,25,26,27,28,28,29,29,29,29,29,29,0,30
Chungcheongbuk-do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,5,5,8,9,10,11,11,11,11,12,15,20,24,25,25,27,27,27,28,31,31,0,32
Chungcheongnam-do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,12,35,55,68,78,81,82,86,90,92,98,102,104,112,114,115,115,115,115,0,118
Jeollabuk-do,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,9
Jeollanam-do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,0,5
Gyeongsangbuk-do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,28,145,170,193,249,317,345,409,488,556,624,685,774,861,984,1049,1082,1107,1117,1135,1143,1147,1153,1157,1164,5,1178
Gyeongsangnam-do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,7,17,20,23,34,43,49,59,63,64,64,65,74,77,82,83,83,83,84,85,85,85,85,85,1,85
Jeju-do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,0,4
