province,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi-do,Gangwon-do,Chungcheongbuk-do,Chungcheongnam-do,Jeollabuk-do,Jeollanam-do,Gyeongsangbuk-do,Gyeongsangnam-do,Jeju-do
1/20/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/24/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/27/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/30/2020,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1/31/2020,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
2/1/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2/2/2020,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4/2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2/5/2020,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2/6/2020,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/7/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9/2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/11/2020,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/17/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/18/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/19/2020,6,0,10,1,0,0,0,0,0,0,0,0,0,0,2,3,0
2/20/2020,2,8,19,0,0,0,0,0,0,0,0,0,0,0,23,0,0
2/21/2020,5,0,80,0,2,0,0,0,2,0,1,1,1,0,3,4,1
2/22/2020,3,3,83,0,3,2,1,1,6,6,2,0,1,1,117,0,0
2/23/2020,1,8,117,0,2,1,0,0,4,0,0,0,0,0,25,10,1
2/24/2020,4,15,173,0,1,0,1,0,11,0,0,0,0,0,23,3,0
2/25/2020,6,8,60,0,0,0,1,0,7,0,2,1,0,0,56,3,0
2/26/2020,8,16,167,1,0,2,1,0,9,0,0,1,0,0,68,11,0
2/27/2020,7,3,422,0,0,4,7,0,11,0,3,9,2,0,28,9,0
2/28/2020,6,4,448,1,0,4,3,0,10,1,1,23,0,0,64,6,0
2/29/2020,15,15,656,2,0,0,3,0,10,0,1,20,0,2,79,10,0
3/1/2020,10,3,468,0,0,0,3,0,7,8,1,13,1,0,68,4,0
3/2/2020,4,5,377,1,0,1,0,0,3,4,0,10,0,2,68,1,0
3/3/2020,7,2,520,0,2,0,0,0,2,1,0,3,1,0,61,0,1
3/4/2020,1,2,406,2,2,1,3,0,7,1,0,1,0,-1,89,1,0
3/5/2020,4,0,321,0,0,1,0,0,9,2,1,4,0,0,87,9,1
3/6/2020,2,3,366,0,0,2,0,0,10,2,3,4,0,0,123,3,0
3/7/2020,3,1,390,0,0,0,0,1,10,1,5,2,0,0,65,5,0
3/8/2020,12,0,297,0,0,0,1,1,11,1,4,6,0,0,33,1,0
3/9/2020,10,0,190,0,2,0,0,3,12,1,1,4,0,0,25,0,0
3/10/2020,11,0,92,4,0,0,0,2,10,0,0,2,0,0,10,0,0
3/11/2020,52,2,131,12,0,0,1,2,12,1,2,8,0,0,18,1,0
3/12/2020,19,1,73,0,0,2,0,5,3,0,0,2,0,0,8,1,0
3/13/2020,13,1,61,2,0,2,2,17,7,0,0,1,0,0,4,0,0
3/14/2020,13,3,62,1,0,0,0,6,15,0,1,0,0,0,6,0,0
3/15/2020,9,3,41,2,1,0,1,1,11,0,3,0,0,0,4,0,0
3/16/2020,6,1,35,0,0,0,0,1,20,0,0,0,0,0,7,0,0
3/17/2020,12,0,32,1,0,0,0,0,31,0,0,0,0,0,5,1,0
3/18/2020,5,0,46,1,1,0,2,1,15,1,1,3,2,1,9,0,0
